desgs,epoch,M,omega,Omega,inc,ecc,a,H,q,Q,min_dist_bound_AU,V_bright_bound
125,2023-02-25,107.2265,110.33653,168.96964,4.66576,0.07994,2.7453055,9.0,2.5258457783300003,2.96476522167,1.5090914783300002,11.905611984106523
126,2023-02-25,203.49153,328.14685,23.24076,2.92357,0.1052946,2.4396836,9.16,2.1827980912114398,2.6965691087885597,1.1660437912114396,11.188642130777996
127,2023-02-25,226.93614,92.79744,31.12897,8.24587,0.0657685,2.7562946,8.6,2.5750172385998997,2.9375719614000997,1.5582629385998996,11.617104412088754
128,2023-02-25,15.47055,302.99173,76.16362,6.2456,0.1281161,2.7504898,7.75,2.3981077737342202,3.1028718262657797,1.3813534737342201,10.350867605292382
129,2023-02-25,224.51274,110.73895,135.6636,12.27119,0.2129436,2.8669796,7.02,2.25647464284944,3.47748455715056,1.23972034284944,9.253770925972901
130,2023-02-25,195.27576,237.69333,144.99853,22.7782,0.2095844,3.1264607,7.27,2.47120331006692,3.78171808993308,1.45444901006692,10.048034887039174
131,2023-02-25,191.91542,161.65648,65.55903,4.96314,0.0687644,2.4315552,10.02,2.26435076560512,2.59875963439488,1.24759646560512,12.275089195393377
132,2023-02-25,239.73288,255.48862,258.14533,24.9544,0.3876531,2.6125064,8.95,1.5997601952701601,3.62525260472984,0.58300589527016,8.798639164558097
133,2023-02-25,36.63997,290.29308,318.99318,7.21397,0.1343852,3.0624113,8.13,2.6508685449672402,3.47395405503276,1.6341142449672401,11.313353038572906
134,2023-02-25,85.44931,85.46316,345.86086,11.61198,0.114818,2.5639137,8.82,2.2695302567934,2.8582971432066,1.2527759567933998,11.089046934290064
135,2023-02-25,342.44505,340.40851,343.55835,2.30376,0.2069096,2.4277695,8.26,1.9254406838628,2.9300983161372,0.9086863838627999,9.474720822559043
136,2023-02-25,256.17849,132.6495,186.40285,9.58081,0.0844797,2.2871305,9.74,2.0939144014991498,2.4803465985008497,1.0771601014991496,11.506195912342648
137,2023-02-25,288.62766,107.60123,202.17289,13.4315,0.2114743,3.1250653,8.21,2.46419430322821,3.7859362967717898,1.44744000322821,10.971377601896405
138,2023-02-25,245.7449,260.622,54.72246,3.20216,0.1619826,2.4496462,8.86,2.05284613944388,2.84644626055612,1.03609183944388,10.498773266815215
139,2023-02-25,209.10916,166.31853,1.80113,10.90159,0.1713196,2.7894108,8.05,2.31153005750832,3.2672915424916797,1.29477575750832,10.430470522227282
140,2023-02-25,3.49511,197.03882,107.16795,3.18545,0.214013,2.7331795,8.5,2.1482435556665,3.3181154443335,1.1314892556664997,10.428669760119826
141,2023-02-25,116.47072,57.73929,318.47317,11.89722,0.2135443,2.6663192,8.44,2.0969419328594396,3.2356964671405595,1.0801876328594395,10.215428025704753
142,2023-02-25,50.16033,291.69766,291.20921,2.23912,0.1343294,2.4182344,10.35,2.09339442398864,2.7430743760113594,1.07664012398864,12.114608120050004
143,2023-02-25,22.14783,252.07379,332.96757,11.44348,0.0732819,2.761142,9.16,2.5588002680702,2.9634837319298,1.5420459680702,12.140668538401094
144,2023-02-25,326.29586,294.6976,76.17449,4.81502,0.2356085,2.6537439,8.15,2.02849928033685,3.27898851966315,1.0117449803368497,9.711229581634809
145,2023-02-25,53.64841,45.24284,77.32813,12.61958,0.1467102,2.6724115,8.21,2.2803414743526997,3.0644815256473,1.2635871743526996,10.508025476309866
146,2023-02-25,7.44329,145.45559,83.93016,13.09857,0.0662155,2.7184348,8.41,2.5384322805006,2.8984373194993998,1.5216779805005998,11.34444169055299
147,2023-02-25,156.53096,102.89921,248.23229,1.93245,0.0228431,3.1366801,8.77,3.06502860280769,3.20833159719231,2.0482743028076897,12.759113240884686
148,2023-02-25,303.40326,252.63177,145.00195,25.29392,0.1881448,2.7700627,7.64,2.24888980732104,3.2912355926789596,1.2321355073210398,9.853133246083427
